monitor_id,interim,comment,classification,action_category
FM43,Interim1,"Telemetry download. 4 days of data available. Depths look ok but no velocity data recorded. Installed in outgoing pipe.

Alt: 1no. MH US 2401 otherwise use DS 1401 but they inlcude couple houses and potentially road.",partial_good_data,partial_data_needs_review
FM44,Interim1,Good data. Very close scatter. Evidence of surcharge.,good_data,no_action_continue_monitoring
FM45,Interim1,"Telemetry download. Good depth data, velocities affected by ragging in places. Evidence of diurnal profile and storm response.",bad_data,sensor_fault_or_ragging
FM47,Interim1,"Telemetry download. 4 days of data available. Depths look ok but no velocity data recorded.

Alt: no clear alt, only MHs DS that have incoming lines between.",partial_good_data,partial_data_needs_review
FM48,Interim1,Telemetry download. 4 days of data available. Very low flows and depths. Reasonable scatter. Very small u/s catchment,partial_good_data,partial_data_needs_review
FM49,Interim1,"Depths ok, velocities affected by ragging. Reasonable scatter. Diurnal profile and storm response evident.",bad_data,sensor_fault_or_ragging
FM50,Interim1,Telemetry downloaded. Monitor located u/s of SPS - affected by on/off levels of pumps.,partial_good_data,partial_data_needs_review
FM51,Interim1,Data quality looks good.Scattergraph looks good.Responsive to rainfall. Sensor cleaned from ragging.,bad_data,sensor_fault_or_ragging
FM54,Interim1,Telemetry download. Flow monitor located on spill pipe.No flow recorded.Responsive to only one storm event.,partial_good_data,partial_data_needs_review
FM55,Interim1,Very low flow conditions due to monitor location.Only very small catchment upstream.Responsive to only one storm event.,partial_good_data,partial_data_needs_review
FM56,Interim1,Telemetry downloaded. Low flow conditions due to small catchment upstream.Responsive to only one storm event.,partial_good_data,partial_data_needs_review
FM57,Interim1,Data quality looks good.Scattergraph looks good.Diurnal profile and storm response evident.Sensor cleaned from grease.,bad_data,sensor_fault_or_ragging
FM58,Interim1,No data,bad_data,recommend_remove_or_relocate
FM59,Interim1,"Says data downloaded, but none provided.",partial_good_data,partial_data_needs_review
FM60,Interim1,"Telemetry download. Located on storm sewer, no flow in DWF. Data quality is good.Scattergraph looks reasonable.Good storm response.",bad_data_storm_response_failed,investigate_storm_failure
FM61,Interim1,"Telemetry download. Very high velocity, very low depth. Depth and velocity data missing for first couple of days. No alternative sites.",partial_good_data,partial_data_needs_review
FM62,Interim1,Flow monitor located on spill pipe.No flow recorded.,partial_good_data,partial_data_needs_review
FM63,Interim1,Data looks good.Scattergraph looks reasonable.Diurnal profile is evident.Responsive to rainfall.,good_data,no_action_continue_monitoring
FM64,Interim1,Data looks good.Diurnal profile is evident.Responsive to rainfall.,partial_good_data,partial_data_needs_review
FM65,Interim1,"Poor data quality.Scattergraph looks good.Responsive to only one sorm event.
Alt:D/S of 6003",bad_data,sensor_fault_or_ragging
FM66,Interim1,Data looks good.Scattergraph looks good.diurnal profile is visible.Responsive to storm events.,good_data,no_action_continue_monitoring
FM67,Interim1,No data ,bad_data,recommend_remove_or_relocate
FM68,Interim1,Data looks good.Responsive to rainfall.Velocity drops down during storm events.Evidence of surcharge.,partial_good_data,partial_data_needs_review
FM69,Interim1,"FM located on spill pipe - no DWF, minor storm response.",bad_data_storm_response_failed,investigate_storm_failure
FM70,Interim1,Poor data.Velocity drops down to zero during DWF.Responsive to rainfall. Reinstalled into Pipe B,partial_good_data,partial_data_needs_review
FM71,Interim1,Good data. Evidence of diurnal profile. Good storm response.,good_data,no_action_continue_monitoring
FM72,Interim1,Located on bifurcation. No flow in DWF. Minimal flow in storm events.,partial_good_data,partial_data_needs_review
FM73,Interim1,Good data.Responsive to storm events.Scattergraph looks reasonable.Sensor cleaned thoroughly from ragging,good_data,no_action_continue_monitoring
FM74,Interim1,Telemetry download. Located on bifurcation. Very low flows during DWF. Some rainfall response.,partial_good_data,partial_data_needs_review
FM75,Interim1,Data looks ok. Slow flow.Wide scatter.Diurnal profile is evident.Responsive to rainfall.Sensor cleaned thoroughly from ragging,bad_data,sensor_fault_or_ragging
FM76,Interim1,Data looks ok. Steady flow.Diurnal profile is evident.Responsive to rainfall.Sensor cleaned thoroughly from ragging,bad_data,sensor_fault_or_ragging
FM77,Interim1,Data looks good.Scattergraph looks good.diurnal profile is visible.Responsive to storm events.Sensor cleaned from ragging,good_data,no_action_continue_monitoring
FM78,Interim1,Telemetry download - 4 days available. Minimal flow in DWF. Storm response evident. Located on outgoing pipe.,partial_good_data,partial_data_needs_review
FM80,Interim1,Telemetry download - 4 days available. Reasonable data.Wide scatter.diurnal profile is visible.Responsive to rainfall.,partial_good_data,partial_data_needs_review
FM81,Interim1,No velocity data and depth data in first couple of days. Good data following this.,good_data,no_action_continue_monitoring
FM82,Interim1,No velocity data in the first couple of days. Good data following this.,good_data,no_action_continue_monitoring
FM83,Interim1,Evidence of pumping station downstream.But none in asset plan or model.,partial_good_data,partial_data_needs_review
FM84,Interim1,Evidence of pumping station downstream.But none in asset plan or model.,partial_good_data,partial_data_needs_review
FM85,Interim1,DWF looks ok. Depth showing negative value during storm events.,partial_good_data,partial_data_needs_review
FM86,Interim1,"No flow in DWF. Large storm response, but doesn't line up with rainfall - delayed by >1hr.",bad_data_storm_response_failed,investigate_storm_failure
FM87,Interim1,"Poor data.Velocity drops down to zero. Slow flow and ragging.
Alt:U/S and D/S of MH0604 ",bad_data,sensor_fault_or_ragging
FM88,Interim1,Evidence of pumping station upstream.But none in asset plan or model.,partial_good_data,partial_data_needs_review
FM90,Interim1,Telemetry download - Very low flows - small u/s catchment. Minor storm response.,bad_data_storm_response_failed,investigate_storm_failure
FM91,Interim1,Telemetry download. diurnal profile visible. Scattergraph looks reasonable.No data recorded after 8/8/2024,bad_data,recommend_remove_or_relocate
FM92,Interim1,No DWF recorded. Storm response.,bad_data_storm_response_failed,investigate_storm_failure
FM93,Interim1,Telemetry download. No data except small storm response in first storm event.,bad_data_storm_response_failed,investigate_storm_failure
FM94,Interim1,No data recorded in the first 4 days.Good data after this.,good_data,no_action_continue_monitoring
FM95,Interim1,Pumped flow. data looks good.,partial_good_data,partial_data_needs_review
FM96,Interim1,Telemetry download. Low depths and minimal velocities recorded. FM located in bifurcation.,partial_good_data,partial_data_needs_review
FM97,Interim1,Telemetry download. Minimal velocities recorded. Surcharged depths in second storm event.,partial_good_data,partial_data_needs_review
FM98,Interim1,Telemetry download. Data looks good.diurnal profile is evident.Flow responsive to rainfall.Scattergraph looks reasonable.No data recoded after 8/8/2024,good_data,no_action_continue_monitoring
FM99,Interim1,Telemetry download. Minor DWF diurnal profile. Storm response.,bad_data_storm_response_failed,investigate_storm_failure
FM100,Interim1,"Poor data up to 08/08/24, ok after this. Velocity drop out during second storm. Diurnal profile and storm response evident.",partial_good_data,partial_data_needs_review
FM103,Interim1,"Telemetry downloaded. No velocities recorded in DWF. Storm response.
Wide scatter.",bad_data_storm_response_failed,investigate_storm_failure
FM104,Interim1,Okay,good_data,no_action_continue_monitoring
FM105,Interim1,Okay,good_data,no_action_continue_monitoring
FM106,Interim1,Okay,good_data,no_action_continue_monitoring
FM107,Interim1,"Okay, few velocity sags but not major.",partial_good_data,partial_data_no_action
FM108,Interim1,"Velocity data spikey throughout period, no DWF.
Covers bifurcation, so DWF may go other route?
Wide scatter.",partial_good_data,partial_data_needs_review
FM110,Interim1,Okay,good_data,no_action_continue_monitoring
FM111,Interim1,Okay,good_data,no_action_continue_monitoring
FM112,Interim1,Okay,good_data,no_action_continue_monitoring
FM114,Interim1,Okay,good_data,no_action_continue_monitoring
FM115,Interim1,"Velocity issues at beginning of interim, impoved after first few days, however flows much less than expected - large upstream catchment.
Records pumped flow from upstream.
Scatter okay.",partial_good_data,partial_data_no_action
FM116,Interim1,Velcities look strange. Review in next interim.,partial_good_data,partial_data_needs_review
FM117,Interim1,Okay,good_data,no_action_continue_monitoring
FM118,Interim1,"Good depth data. Velocity issues throughout, flows down to zero in DWF.
On main trunk.
Wide scatter.

Alt: 3no. MHs DS, 2no MHs US misses small lateral but minor flow.",partial_good_data,partial_data_needs_review
FM119,Interim1,Okay,good_data,no_action_continue_monitoring
FM120,Interim1,Okay,good_data,no_action_continue_monitoring
FM121,Interim1,"Telemetry download No depth or velocity data after first couple of days.
Take several hosuing estate so should be sizable flow.
Scatter okay.",partial_good_data,partial_data_no_action
FM122,Interim1,Okay,good_data,no_action_continue_monitoring
FM123,Interim1,"Okay, possibly some veloctiy drift present. Duirnal pattern presnt but small.
Only takes few housing estate so expect small DWF.
Scatter okay.",partial_good_data,partial_data_no_action
FM124,Interim1,Okay,good_data,no_action_continue_monitoring
FM125,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM126,Interim1,Okay,good_data,no_action_continue_monitoring
FM127,Interim1,"Telemetry download. Velocity issues throughout.
US of FM128 - vol balance issue.
Wide scatter.
Alt: Numerous MHs US and DS e.g. 6010, 6012",partial_good_data,partial_data_needs_review
FM128,Interim1,Okay,good_data,no_action_continue_monitoring
FM129,Interim1,"Telemetry download. No DWF at night. High spikey flows during day.
Only takes few buidlings, trade?
Wide scatter.",partial_good_data,partial_data_needs_review
FM130,Interim1,"Telemetry download. No flows recorded during DWF. Storm response evident.
DS of FM129, vol balance issue.
Wide scatter.",bad_data_storm_response_failed,investigate_storm_failure
FM131,Interim1,"Telemetry download. Depth data ok but no velocity data.
Alt: DS MH 5202 incoming or US MHs but misses small lateral line",partial_good_data,partial_data_needs_review
FM132,Interim1,Telemetry download. Low flows in DWF. Storm response recorded,partial_good_data,partial_data_needs_review
FM133,Interim1,"Okay, veloctiy data spikey throughout period.
Wide scatter.",partial_good_data,partial_data_no_action
FM134,Interim1,"Okay, veloctiy data spikey throughout period.
Wide scatter.",partial_good_data,partial_data_no_action
FM135,Interim1,"No flow data for entire interim except during storm.
Installed on high level bifurcation",partial_good_data,partial_data_needs_review
FM136,Interim1,"No flow data for entire interim.

Alt: only 1no. MH US 8091 with 2no. Incoming pipes so needs to be outgoing.",partial_good_data,partial_data_needs_review
FM137,Interim1,"Veloctiy data only during rainfall periods.
Takes flow from housing estate only so would expect much DWF.
Wide scatter.",partial_good_data,partial_data_needs_review
FM140,Interim1,Flows much lower than expected.,partial_good_data,partial_data_needs_review
FM141,Interim1,Negative depths,partial_good_data,partial_data_needs_review
FM142,Interim1,"Velocity data drops out several times.
FM141 is okay DS.
Scatter okay.",partial_good_data,partial_data_no_action
FM143,Interim1,"Negative depth data.
Foul pipe.

Alt: Numerous DS MHs e.g. 1802, 1813",partial_good_data,partial_data_needs_review
FM144,Interim1,"Okay, velocity drops out couple times but no major issues.
Foul pipe.",partial_good_data,partial_data_no_action
FM145,Interim1,"Okay. 
Storm pipe",partial_good_data,partial_data_no_action
FM146,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM147,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM148,Interim1,Data not retrieved.,bad_data,recommend_remove_or_relocate
FM149,Interim1,"Okay, velocity and depth drop out at one point
Flows small in DWF?",partial_good_data,partial_data_no_action
FM150,Interim1,"Velocity issues throughout, no DWF

Alt: 2no. MHs US. 4107 use incoming or outgoing. 4101 only use outgoing.",partial_good_data,partial_data_needs_review
FM155,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM156,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM157,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM158,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM159,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM160,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM161,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM162,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM163,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
FM164,Interim1,FM not installed,bad_data,recommend_remove_or_relocate
DM01,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
DM02,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
DM03,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL01,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL02,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL03,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL04,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL05,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL06,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL07,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL08,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
PL09,Interim1,No data retrieved,bad_data,recommend_remove_or_relocate
RG01,Interim1,Data file empty - needs investigating,partial_good_data,partial_data_needs_review
RG02,Interim1,"Rain Gauge visited, filter cleaned. All ok",partial_good_data,partial_data_needs_review
RG03,Interim1,"Rain Gauge visited, filter cleaned. Unable to connect for test. Confirmed RG is calling in online
Data look suspect compared to other RGs",partial_good_data,partial_data_needs_review
RG04,Interim1,All okay - data downloaded,partial_good_data,partial_data_no_action
RG05,Interim1,Unable to gain access. Locked gate,partial_good_data,partial_data_needs_review
RG06,Interim1,Data file empty - needs investigating,partial_good_data,partial_data_needs_review
RG07,Interim1,"Rain Gauge visited, filter cleaned. All ok",partial_good_data,partial_data_needs_review
RG08,Interim1,"Rain Gauge visited, filter cleaned. All ok",partial_good_data,partial_data_needs_review
RG09,Interim1,"Rain Gauge visited, filter cleaned. All ok",partial_good_data,partial_data_needs_review
RG10,Interim1,Installed - no data for interim 1,bad_data,recommend_remove_or_relocate
RG11,Interim1,No comms. Confirmed RG is offline. RG to be changed at next visit,partial_good_data,partial_data_needs_review
RG12,Interim1,Installed - no data for interim 1,bad_data,recommend_remove_or_relocate
RG13,Interim1,All okay - data downloaded,partial_good_data,partial_data_no_action
RG14,Interim1,All okay - data downloaded,partial_good_data,partial_data_no_action
RG15,Interim1,All okay - data downloaded,partial_good_data,partial_data_no_action
RG16,Interim1,All okay - data downloaded,partial_good_data,partial_data_no_action
FM01,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM02,Interim2,"Good data, close scatter, diurnal profile evident, storm response evident. ",good_data,no_action_continue_monitoring
FM03,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM04,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM05,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM06,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM09,Interim2,"Good depth data, velocities regularly drop out. ",partial_good_data,partial_data_needs_review
FM10,Interim2,"Good data, scatter and graphs show evidence of surcharging in storm events, diurnal profile evident, storm response evident. ",good_data,no_action_continue_monitoring
FM11,Interim2,"Close scatter, good storm response. No flows recorded apart from in storm events (d/s of bifurcation - likely high level pipe)",bad_data_storm_response_failed,investigate_storm_failure
FM13,Interim2,"Good storm response, no diurnal pattern observed due to standing water. Good scatter and volume balance.",bad_data_storm_response_failed,investigate_storm_failure
FM14,Interim2,"Very low flows due to small catchment, small correlation on scatter graph. Response to rainfall. Ragging and low flows appear to have affected velocity. ",bad_data,sensor_fault_or_ragging
FM15,Interim2,"Good data, diurnal profile evident and some storm response. Wide scatter.",good_data,no_action_continue_monitoring
FM16,Interim2,Good scatter graph. Limited depth and flow storm response. Good diurnal and storm response in velocity. Good volume balance. ,partial_good_data,partial_data_needs_review
FM17,Interim2,No flow or velocity data since previous download. ,partial_good_data,partial_data_needs_review
FM18,Interim2,Located on spill pipe - flows only evident after storm event.,partial_good_data,partial_data_needs_review
FM19,Interim2,Minimal DWF due to small US catchment but profile evident along with storm response. Good scatter. ,partial_good_data,partial_data_needs_review
FM20,Interim2,"Storm response evident, no diurnal trend as on spill pipe of CSO. Good scatter.",bad_data_storm_response_failed,investigate_storm_failure
FM21,Interim2,"Good data, good scatter, good volume balance. Diurnal profile and storm response, evidence of surcharge during storms. ",good_data,no_action_continue_monitoring
FM22,Interim2,Storm response evident. Good depth data. Multiple velocity drop outs.,partial_good_data,partial_data_needs_review
FM23,Interim2,Flow and velocity data dropped out. Depth data shows small amount of diurnal profile and storm response. ,partial_good_data,partial_data_needs_review
FM24,Interim2,"Minimal DWF due to small US catchment, storm response evident. Medium scatter. ",partial_good_data,partial_data_needs_review
FM25,Interim2,"Response to storms, some diurnal profile but pump profile evident mostly from 11/08 onwards. Good scatter",partial_good_data,partial_data_needs_review
FM26,Interim2,"First half of data responds to storms, second half there is more evidence of diurnal flow and predominant pump profile evident. Good scatter",partial_good_data,partial_data_needs_review
FM27,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM28,Interim2,Good data. Diurnal profile and storm response evident. Good scatter and volume balance. ,good_data,no_action_continue_monitoring
FM29,Interim2,Good data. Diurnal profile and storm response evident. Good scatter and volume balance. ,good_data,no_action_continue_monitoring
FM30,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM31,Interim2,"Minimal DWF due to small US catchment, storm response evident, good scatter. ",partial_good_data,partial_data_needs_review
FM32,Interim2,"Poor data, Some small amounts of storm response but little DWF profile. Depths in negative numbers and poor scattergraph correlation. ",bad_data,sensor_fault_or_ragging
FM33,Interim2,"Located on spill pipe - no DWF profile evident, some small storm response. ",bad_data_storm_response_failed,investigate_storm_failure
FM34,Interim2,Diurnal profile evident and storm response. Scatter graph has wide spread. ,partial_good_data,partial_data_needs_review
FM35,Interim2,Good velocity data. Depths recording negative values up until 18/08.,partial_good_data,partial_data_needs_review
FM37,Interim2,Poor correlation on scatter. Some amount of diurnal profile but limited storm response. ,partial_good_data,partial_data_needs_review
FM38,Interim2,"Pump profile evident, some storm response. Scatter plot good.",partial_good_data,partial_data_needs_review
FM39,Interim2,"Pumped flow.Located d/s of SPS.Evidence of diurnal profile.Responsive to storm events.Scattergraph looks good. On 15/08, depths suddenly drop down.",partial_good_data,partial_data_needs_review
FM40,Interim2,Pumped flow.Located d/s of SPS.Evidence of diurnal profile.Responsive to storm events. ,partial_good_data,partial_data_needs_review
FM41,Interim2,Pumped flow.Located d/s of pumping station.Evidence of diurnal profile.Responsive to storm events.Close sactter.Volume imbalance with flow monitor u/s FM38,partial_good_data,partial_data_needs_review
FM42,Interim2,Good data.Close scatter.Responsive to storm events.diurnal profile is evident.,good_data,no_action_continue_monitoring
FM43,Interim2,Poor data.Velocity data was recorded for only two days during the survey. The rest of the days have no velocity data.Depth value drops to zero during one of the storm event.Depths drop out on 19/08.,partial_good_data,partial_data_needs_review
FM44,Interim2,Good data.Very close scatter.Responsive to rainfall events.Evidence of surcharge.,good_data,no_action_continue_monitoring
FM45,Interim2,Telemetry downloaded.Responsive to storm events.diurnal profile evident.Velocity affected by ragging in places.,bad_data,sensor_fault_or_ragging
FM47,Interim2,Poor data.Depths look ok.Velocity values not recorded,partial_good_data,partial_data_needs_review
FM48,Interim2,Telemetry downloaded.Flow is very low.Responsive to storm events.Very small u/s catchment.Sensor cleaned from grease.,bad_data,sensor_fault_or_ragging
FM49,Interim2,Data looks good.Reasonable scatter.Responsive to storm avents.diurnal profile is evident.,good_data,no_action_continue_monitoring
FM50,Interim2,Pumped flow.Monitor located u/s of SPS.,partial_good_data,partial_data_needs_review
FM51,Interim2,Good data.Scattergraph looks good.Responsive to rainfall.diurnal profile is evident.Sensor clear but wiped anyway.,good_data,no_action_continue_monitoring
FM54,Interim2,Telemetry downloaded.Flow monitor is located at spill pipe.Responsive to only on storm event.Velocity is showing negative values.,partial_good_data,partial_data_needs_review
FM55,Interim2,Very low flow conditions. Only very small catchment area upstream. Responsive to only one storm event. Velocity drops to zero sometimes.,partial_good_data,partial_data_needs_review
FM56,Interim2,"Site visit not completed, unable to download telemetry data. ",partial_good_data,partial_data_needs_review
FM57,Interim2,Telemetry data downloaded.Good data.Scattergraph looks good.Dirunnal profile is evident and responsive to storm events.,good_data,no_action_continue_monitoring
FM58,Interim2,Flow monitor located at one of the outgoing pipe of a bifurcation.No flow ,partial_good_data,partial_data_needs_review
FM59,Interim2,Telemetry data downloaded.Data looks good.Located at outgoing leg of bifurcation.Responsive to rainfall.diurnal profile is evident.Scattergraph looks good.,good_data,no_action_continue_monitoring
FM60,Interim2,Sensor cleaned thoroughly from ragging. Data downloaded.Data looks good.Located on storm sewer.No flow in DWF.Responsive to raoinfall.Scattergraph looks good.,good_data,no_action_continue_monitoring
FM61,Interim2,Data downloaded.Very high velocity and low depth.Depth values drops below zero.Velocities repsond to rainfall but depths too low for accurate reading. No alternative sites.,partial_good_data,partial_data_needs_review
FM62,Interim2,Flow monitor located at spill pipe.No flow recorded.,partial_good_data,partial_data_needs_review
FM63,Interim2,Data looks good.Wide scatter.Responsive to storm avents.diurnal profile is evident.Sensor cleaned from ragging.,good_data,no_action_continue_monitoring
FM64,Interim2,Data looks ok.diurnal profile is evident.Responsive to rainfall.Close scatter.Sensor clear but wiped anyway.,partial_good_data,partial_data_no_action
FM65,Interim2,Data looks ok.Scattergraph looks good.Depth value drops down multiple times.Gap in velicity recording.Responsive to few storm events.,partial_good_data,partial_data_needs_review
FM66,Interim2,Data looks good.Scattergraph looks good.diurnal profile is evident.Responsive to storm events.Sensor cleaned from ragging.,good_data,no_action_continue_monitoring
FM67,Interim2,Poor data.Depth value drops to zero from the mid of flow survey period.Wide scatter.Responsive to rainfall.diurnal profile is evident.Sensor cleaned from grease.,bad_data,sensor_fault_or_ragging
FM68,Interim2,Telemetry data downloaded.Data looks good.Responsive to rainfall.Velocity drops down during storm events.Evidence of surcharge.,partial_good_data,partial_data_needs_review
FM69,Interim2,Flow monitor is located on spill pipe.No DWF.Monor response to storm events.Sensor cleaned thoroughly from ragging. Data downloaded.,bad_data,sensor_fault_or_ragging
